group,rank,gene,score,p_value,p_value_adj_BH,mean_logcounts_group,mean_logcounts_rest,mean_log2_expression_difference,pct_cells_expressing_group,pct_cells_expressing_rest,n_cells_group,n_cells_rest,is_mitochondrial,is_ribosomal
Myeloid cell,19,SPI1,430.0442592801652,0.0,0.0,1.4941084849742103,0.0268054150781061,2.116870862420262,79.47849226379897,2.0800335553713563,72904,500665,False,False
Myeloid cell,20,SRGN,422.3720836878689,0.0,0.0,2.7600927163136486,1.2207460023632322,2.2208078704249874,97.1620212882695,65.20687485644093,72904,500665,False,False
Myeloid cell,21,SERPINA1,407.1032850003268,0.0,0.0,1.5037944294958567,0.0074689195591755,2.1587413927412995,78.28925710523428,0.6093895119491077,72904,500665,False,False
Myeloid cell,22,FGL2,399.27066648026863,0.0,0.0,1.398536585522082,0.0549378018096898,1.9384033022063112,78.58279381103918,4.393756304115526,72904,500665,False,False
Myeloid cell,23,FCGRT,396.8163765080215,0.0,0.0,1.3216206329122768,0.1204852359936265,1.7328720805707334,78.84478217930429,9.735651583394086,72904,500665,False,False
Myeloid cell,24,MNDA,391.0875746989089,0.0,0.0,1.6522349507266132,0.0171409716340155,2.358941975024293,79.68287062438276,1.3402175107107548,72904,500665,False,False
Myeloid cell,25,RNF130,387.2012684589735,0.0,0.0,1.2631761968655555,0.0946165536915254,1.68587520219015,77.24541863272249,7.387175057173959,72904,500665,False,False
Myeloid cell,26,AP1S2,385.0522471673889,0.0,0.0,1.55078844944275,0.2549303670404681,1.8695280291776537,82.78420937122792,19.553194251645312,72904,500665,False,False
Myeloid cell,27,HLA-DPA1,384.5613534539219,0.0,0.0,2.828420940038744,0.614934203227677,3.1933863382708205,86.8237682431691,33.925279378426694,72904,500665,False,False
Myeloid cell,28,CD68,380.7567594741728,0.0,0.0,1.292792081408079,0.0249831494008182,1.8290616590016084,75.10561834741578,1.7904187430717144,72904,500665,False,False
Myeloid cell,29,FOS,374.0882974233667,0.0,0.0,2.004381376364632,0.2269604198720852,2.5642763995039157,82.83770437836058,12.81675371755565,72904,500665,False,False
Myeloid cell,30,CYBB,373.7476558495361,0.0,0.0,1.3448536583735002,0.0338343234833623,1.8914010929555491,74.95747832766378,2.4761067779852795,72904,500665,False,False
Myeloid cell,31,TYMP,368.84684535638667,0.0,0.0,1.5181805299540134,0.157332763911415,1.963288323474481,79.46614726215296,12.129467807815605,72904,500665,False,False
Myeloid cell,32,CD14,367.455122699677,0.0,0.0,1.7414282617916954,0.0127830008385821,2.4939079454332647,73.56112147481619,1.0268343103672115,72904,500665,False,False
Myeloid cell,33,OAZ1,365.3564788897408,0.0,0.0,2.777109409487862,1.8237364116475,1.375426496101735,97.83688137825084,88.35309038978158,72904,500665,False,False
Myeloid cell,34,CLEC7A,360.5339466942745,0.0,0.0,1.1578071552299418,0.0054728445173979,1.662466995511189,73.14687808625041,0.468776527218799,72904,500665,False,False
Myeloid cell,35,HLA-DPB1,350.7414005623298,0.0,0.0,2.767356220540835,0.6946789644579545,2.9902411987141155,85.87045978272798,37.72702305933109,72904,500665,False,False
Myeloid cell,36,HLA-DMA,347.078131010437,0.0,0.0,1.5772185157494203,0.1954269344144051,1.9935038619341447,75.72972676396357,12.891654100046935,72904,500665,False,False
Myeloid cell,37,CSTA,341.91842106752875,0.0,0.0,1.217254083239753,0.00419579918947,1.7500731707086186,70.69296609239548,0.331559026494762,72904,500665,False,False
Myeloid cell,38,NEAT1,341.2671825412772,0.0,0.0,2.665613547357135,0.9499655722108052,2.475156825654802,92.47366399648853,53.39678227956818,72904,500665,False,False
Myeloid cell,39,COTL1,338.83614862202575,0.0,0.0,2.049824763754292,0.7463831478715528,1.880468755322325,88.56167014155602,45.82804869523534,72904,500665,False,False
Myeloid cell,40,HLA-DQB1,327.6931660042512,0.0,0.0,1.88479149543704,0.2831309514614757,2.3107077239810656,77.52523867003183,16.385407408147167,72904,500665,False,False
Myeloid cell,41,APLP2,325.7728305233745,0.0,0.0,1.222594857913281,0.1472853204248336,1.551343737155188,73.85465818062109,11.4252044780442,72904,500665,False,False
Myeloid cell,42,PYCARD,324.3174008818386,0.0,0.0,1.3961965165340435,0.3633544256499565,1.4900761625398604,80.71299242839899,26.74063495550917,72904,500665,False,False
Myeloid cell,43,LGALS1,319.7843185919978,0.0,0.0,2.1710969573007715,0.7968246822734535,1.9826557960131053,86.7867332382311,40.741813388193705,72904,500665,False,False
Myeloid cell,44,CEBPD,319.1179317421854,0.0,0.0,1.4612050199077362,0.1054621693073244,1.9559234872818807,70.03182267090969,6.96034274415028,72904,500665,False,False
Myeloid cell,45,RAB31,316.38280136415773,0.0,0.0,0.9446110685450864,0.0131538487922167,1.343808711737687,65.83589377811917,1.0488050892313223,72904,500665,False,False
Myeloid cell,46,CTSH,316.282500570023,0.0,0.0,1.0759479271745618,0.1054519740776524,1.4001296987357192,69.21705256227368,8.144567724925848,72904,500665,False,False
Myeloid cell,47,TSPO,314.79154499178657,0.0,0.0,1.9282083749615484,0.812371078361198,1.609812934244273,88.34357511247669,53.39778095133473,72904,500665,False,False
Myeloid cell,48,S100A9,313.8291726353792,0.0,0.0,2.633254042888703,0.0805390389885712,3.6827892769295705,68.953692527159,6.184574515893861,72904,500665,False,False
Myeloid cell,49,MEF2C,313.0665077938565,0.0,0.0,1.0719261226767007,0.0878872317575219,1.4196680279709748,69.19236255898169,5.025316329282055,72904,500665,False,False
Myeloid cell,50,CFD,311.7124759946726,0.0,0.0,1.2390933426829407,0.0349826306447977,1.7371645529387074,66.38318885109184,2.826840302397811,72904,500665,False,False
Innate lymphoid cell,1,NKG7,711.4340394531475,0.0,0.0,4.045937566225755,0.7996802218385282,4.683359372196827,97.94887187953374,30.16823747027217,39978,533591,False,False
Innate lymphoid cell,2,GNLY,545.9402181338454,0.0,0.0,4.152692274696563,0.3486612790746048,5.488056652771706,92.80354194807144,13.107230069472688,39978,533591,False,False
Innate lymphoid cell,3,CTSW,468.4262899859591,0.0,0.0,2.6180853829276725,0.622978130684313,2.878331338853101,95.42498374105756,35.250781965962695,39978,533591,False,False
Innate lymphoid cell,4,TYROBP,458.31261623267295,0.0,0.0,2.6017404762995024,0.5552417922152869,2.952473502714088,94.47446095352444,19.220526583094543,39978,533591,False,False
Innate lymphoid cell,5,KLRD1,450.2098845130312,0.0,0.0,2.2345019233170267,0.1844303586823964,2.957628079765859,90.76742208214516,9.86054862244678,39978,533591,False,False
Innate lymphoid cell,6,CST7,359.62285783382566,0.0,0.0,2.579079796631087,0.7403061099585339,2.6527896790796093,92.22072139676824,36.38273509110911,39978,533591,False,False
Innate lymphoid cell,7,PRF1,352.65954586742515,0.0,0.0,2.323799951309629,0.3479677456632024,2.850523324714803,87.51063084696582,21.005601668693814,39978,533591,False,False
Innate lymphoid cell,8,HOPX,320.787410372974,0.0,0.0,1.9411413247906533,0.3322562650546921,2.3211304970414157,85.04677572664966,20.34198477860384,39978,533591,False,False
Innate lymphoid cell,9,GZMA,295.65252442521296,0.0,0.0,2.4766561902741904,0.8293024241381415,2.376629108994235,88.63124718595228,37.10538596040788,39978,533591,False,False
